"Model","Learning Time (s)","Evaluation Time (s)","Mean Reward","Std Reward"
"DQN",3615.5,38.2,8.293995829075575,4.938060500188515
"PPO",3639.5,139.0,28.649703979492188,0.8709296344114532
"A2C",3657.2,35.0,8.405015782825648,3.775745934017255
